Date,Volume,成交金額,Open,High,Low,Close,漲跌價差,成交筆數,min,max
2017-07-03,19421435,"1,186,318,625",61.20,61.20,60.80,61.10,+0.10,"2,411",,
2017-07-04,4867361,"296,322,376",60.80,61.30,60.60,60.60,-0.50,"1,771",,
2017-07-05,4797565,"291,838,360",60.60,61.20,60.20,61.00,+0.40,"2,191",,
2017-07-06,3599954,"219,094,075",60.80,61.10,60.50,61.10,+0.10,"1,650",,
2017-07-07,4357435,"263,107,902",60.60,60.70,60.30,60.30,-0.80,"1,896",,
2017-07-10,4312105,"259,388,200",60.30,60.50,59.90,60.10,-0.20,"2,707",,
2017-07-11,5984234,"361,322,240",60.00,60.60,60.00,60.30,+0.20,"3,295",,
2017-07-12,9102574,"548,597,221",60.10,60.50,60.00,60.20,-0.10,"3,170",,
2017-07-13,11244507,"679,476,846",60.30,60.80,60.10,60.30,+0.10,"4,077",59.9,61.3
2017-07-14,6197555,"374,015,188",60.30,60.50,60.10,60.40,+0.10,"2,888",59.9,61.3
2017-07-17,7147269,"431,912,663",60.40,60.60,60.20,60.20,-0.20,"3,365",59.9,61.2
2017-07-18,6748968,"407,345,980",60.20,60.50,60.20,60.30,+0.10,"4,460",59.9,61.1
2017-07-19,9315689,"562,511,686",60.30,60.70,60.20,60.30, 0.00,"3,692",59.9,60.8
2017-07-20,6994293,"419,957,280",60.30,60.50,59.90,60.00,-0.30,"3,187",59.9,60.8
2017-07-21,5606970,"336,682,300",60.00,60.30,59.90,60.00, 0.00,"3,051",59.9,60.8
2017-07-24,9927252,"600,131,584",60.50,60.80,60.20,60.60,+0.60,"4,238",59.9,60.8
2017-07-25,6969272,"420,703,443",60.80,60.80,60.10,60.30,-0.30,"3,528",59.9,60.8
2017-07-26,7937132,"480,748,637",60.70,61.00,60.30,60.50,+0.20,"3,008",59.9,61.0
2017-07-27,0,0,60.50,60.50,60.50,60.50, 0.00,0,59.9,61.0
2017-07-28,30535605,"1,793,098,664",58.20,59.80,58.20,58.40,X0.00,"12,161",58.2,61.0
2017-07-31,29464479,"1,692,671,303",58.40,58.60,56.50,57.80,-0.60,"9,533",56.5,61.0
2017-08-01,27518710,"1,619,784,650",57.9,59.3,57.8,59.0,+1.20,"9,170",56.5,61.0
2017-08-02,19323559,"1,138,151,206",59.1,59.2,58.7,58.8,-0.20,"8,006",56.5,61.0
2017-08-03,19448315,"1,111,559,788",56.4,57.5,56.4,57.5,X0.00,"5,239",56.4,61.0
2017-08-04,22335987,"1,289,053,173",57.6,57.8,57.5,57.8,+0.30,"3,895",56.4,61.0
2017-08-07,5743555,"330,463,830",58.0,58.1,57.2,57.4,-0.40,"2,436",56.4,61.0
2017-08-08,8547122,"491,654,694",57.4,57.8,57.4,57.6,+0.20,"3,868",56.4,60.5
2017-08-09,16293347,"937,076,765",57.1,58.5,57.1,57.4,-0.20,"4,891",56.4,59.8
2017-08-10,8867094,"511,728,493",57.7,58.0,57.4,57.8,+0.40,"3,487",56.4,59.3
2017-08-11,5599384,"322,335,291",57.8,57.8,57.4,57.7,-0.10,"2,856",56.4,59.3
2017-08-14,6008997,"346,862,699",57.8,57.9,57.5,57.5,-0.20,"3,271",56.4,59.2
2017-08-15,13861246,"812,572,646",57.8,59.5,57.8,59.1,+1.60,"5,071",56.4,59.5
2017-08-16,9705677,"574,991,886",59.4,59.5,59.0,59.4,+0.30,"4,773",57.1,59.5
2017-08-17,6792742,"404,755,030",59.6,59.8,59.2,59.8,+0.40,"3,237",57.1,59.8
2017-08-18,6651312,"397,772,912",59.5,60.1,59.1,60.0,+0.20,"3,226",57.1,60.1
2017-08-21,3792477,"226,322,310",60.0,60.0,59.4,59.7,-0.30,"2,169",57.1,60.1
2017-08-22,8792019,"528,788,996",60.0,60.4,59.8,60.4,+0.70,"3,893",57.4,60.4
2017-08-23,17282241,"1,061,526,979",60.7,62.3,60.7,61.4,+1.00,"7,330",57.4,62.3
2017-08-24,24110067,"1,502,979,914",62.0,63.2,61.7,63.0,+1.60,"8,141",57.5,63.2
2017-08-25,31056460,"1,994,094,768",63.5,65.1,63.3,64.1,+1.10,"10,304",57.8,65.1
2017-08-28,22643719,"1,438,088,097",64.9,64.9,62.9,63.4,-0.70,"6,716",59.0,65.1
2017-08-29,10528849,"664,165,920",63.4,64.0,62.5,64.0,+0.60,"5,010",59.1,65.1
2017-08-30,13125627,"839,238,128",63.9,64.3,63.5,64.3,+0.30,"4,389",59.1,65.1
2017-08-31,12268036,"782,483,556",64.3,64.3,63.3,64.2,-0.10,"4,846",59.4,65.1
2017-09-01,9917124,"632,820,003",64.2,64.2,63.7,63.8,-0.4,"3,091",59.8,65.1
2017-09-04,9077110,"576,495,755",63.7,63.8,63.3,63.8,0.0,"4,112",60.7,65.1
2017-09-05,12604782,"798,207,182",63.8,63.9,63.0,63.9,0.1,"4,309",61.7,65.1
2017-09-06,11501566,"734,688,477",63.8,64.0,63.8,63.9,0.0,"3,399",62.5,65.1
2017-09-07,13307686,"852,400,293",64.0,64.5,63.8,64.5,0.6,"3,965",62.5,64.9
2017-09-08,15662257,"1,018,205,252",65.0,65.2,64.7,65.2,0.7,"4,683",62.5,65.2
2017-09-11,6015208,"392,057,738",65.5,65.6,65.0,65.1,-0.1,"2,731",63.0,65.6
2017-09-12,8594471,"554,446,787",65.0,65.1,64.2,64.6,-0.5,"2,664",63.0,65.6
2017-09-13,9069511,"590,042,703",65.0,65.3,64.6,65.0,0.4,"3,757",63.0,65.6
2017-09-14,6164192,"402,839,854",65.0,65.5,65.0,65.5,0.5,"2,645",63.0,65.6
2017-09-15,13832673,"903,431,972",65.4,65.6,64.7,65.6,0.1,"3,896",63.0,65.6
2017-09-18,9296068,"613,878,388",65.6,66.3,65.6,66.3,0.7,"5,440",63.8,66.3
2017-09-19,9509194,"620,121,836",66.4,66.5,64.9,65.1,-1.2,"3,662",63.8,66.5
2017-09-20,9562001,"615,876,327",65.1,65.2,63.2,65.0,-0.1,"4,440",63.2,66.5
2017-09-21,5762994,"371,421,486",64.9,64.9,64.2,64.5,-0.5,"2,145",63.2,66.5
2017-09-22,5607960,"358,497,022",65.0,65.0,63.6,63.7,-0.8,"2,712",63.2,66.5
2017-09-25,6455863,"406,471,278",63.7,63.7,62.7,63.0,-0.7,"3,646",62.7,66.5
2017-09-26,5592565,"351,607,396",63.0,63.2,62.6,62.8,-0.2,"2,144",62.6,66.5
2017-09-27,9183433,"570,537,746",62.5,62.6,61.8,62.0,-0.8,"2,923",61.8,66.5
2017-09-28,7398991,"461,254,382",61.8,63.5,61.7,62.3,0.3,"2,728",61.7,66.5
2017-09-29,6093698,"385,099,186",63.0,63.5,62.8,63.5,1.2,"2,347",61.7,66.5
2017-09-30,766365,"48,192,436",63.5,63.5,62.2,62.9,-0.6,689,61.7,65.2
2017-10-02,4205076,"263,427,426",63.3,63.3,62.5,62.6,-0.3,"1,809",61.7,65.0
2017-10-03,7298356,"459,550,135",63.1,63.4,62.6,63.4,0.8,"4,002",61.7,65.0
2017-10-05,5592012,"352,492,956",62.8,63.6,62.7,63.1,-0.3,"2,450",61.7,63.7
2017-10-06,4895749,"309,969,182",63.5,63.6,62.9,63.6,0.5,"2,445",61.7,63.6
2017-10-11,11472477,"748,930,507",66.1,66.2,64.3,64.8,1.2,"4,783",61.7,66.2
2017-10-12,11335191,"736,994,211",64.3,65.6,64.3,65.5,0.7,"5,389",61.7,66.2
2017-10-13,8677348,"563,804,152",65.4,65.5,64.5,65.3,-0.2,"5,249",62.2,66.2
2017-10-16,6710926,"435,315,784",65.0,65.0,64.7,64.9,-0.4,"3,361",62.2,66.2
2017-10-17,12320783,"803,307,835",65.1,65.4,64.9,65.3,0.4,"3,897",62.5,66.2
2017-10-18,5358895,"344,840,580",65.2,65.2,64.1,64.1,-1.2,"2,538",62.6,66.2
2017-10-19,3863120,"246,645,108",64.1,64.3,63.7,63.7,-0.4,"1,839",62.7,66.2
2017-10-20,7107260,"451,077,887",64.0,64.1,63.2,63.6,-0.1,"2,857",62.9,66.2
2017-10-23,8106452,"523,342,650",64.2,65.3,63.8,65.1,1.5,"3,038",63.2,66.2
2017-10-24,5857119,"377,264,520",65.3,65.3,64.1,64.4,-0.7,"2,015",63.2,65.6
2017-10-25,3821729,"242,996,784",64.2,64.3,63.4,63.4,-1.0,"1,748",63.2,65.5
2017-10-26,4330313,"272,210,960",63.1,63.4,62.7,62.8,-0.6,"1,934",62.7,65.4
2017-10-27,5620948,"354,267,814",63.3,63.3,62.8,63.1,0.3,"1,937",62.7,65.4
2017-10-30,7607569,"480,433,547",63.5,63.6,62.8,63.2,0.1,"2,487",62.7,65.3
2017-10-31,6569287,"413,812,241",63.0,63.2,62.9,63.0,-0.2,"2,248",62.7,65.3
2017-11-01,5580463,"351,871,769",63.3,63.3,62.8,63.3,0.3,"2,403",62.7,65.3
2017-11-02,6353706,"397,567,433",63.1,63.4,62.1,62.3,-1.0,"3,251",62.1,65.3
2017-11-03,5357973,"335,743,698",62.6,63.0,62.2,62.7,0.4,"2,971",62.1,65.3
2017-11-06,6712966,"417,080,263",62.2,62.6,61.9,62.3,-0.4,"2,437",61.9,64.3
2017-11-07,6952408,"432,147,286",62.3,62.6,62.0,62.3,0.0,"2,988",61.9,63.6
2017-11-08,7105608,"447,666,996",61.9,63.8,61.9,63.8,1.5,"3,890",61.9,63.8
2017-11-09,11976192,"769,916,523",64.2,64.8,63.5,64.0,0.2,"4,864",61.9,64.8
2017-11-10,5314645,"336,506,565",63.7,64.0,63.0,63.4,-0.6,"2,799",61.9,64.8
2017-11-13,7234461,"461,359,065",63.0,64.2,63.0,63.8,0.4,"3,521",61.9,64.8
2017-11-14,8020888,"516,901,132",65.4,65.4,64.0,64.3,0.5,"3,380",61.9,65.4
2017-11-15,8764395,"560,836,180",64.2,64.3,63.4,64.3,0.0,"3,477",61.9,65.4
2017-11-16,7134675,"457,194,740",64.4,64.4,63.9,64.0,-0.3,"2,545",61.9,65.4
2017-11-17,9480119,"611,494,502",64.3,64.8,64.3,64.4,0.4,"2,988",61.9,65.4
2017-11-20,5048472,"324,765,182",64.4,65.0,64.2,64.4,0.0,"2,315",61.9,65.4
2017-11-21,4346547,"278,248,734",64.1,64.4,63.9,64.2,-0.2,"2,718",63.0,65.4
2017-11-22,12268461,"794,679,681",64.5,65.1,64.2,65.0,0.8,"5,002",63.0,65.4
2017-11-23,5495423,"356,126,073",65.0,65.0,64.5,64.7,-0.3,"3,011",63.0,65.4
2017-11-24,3121815,"200,166,560",64.8,64.8,64.0,64.0,-0.7,"1,455",63.4,65.4
2017-11-27,3972552,"251,949,275",64.1,64.2,63.2,63.3,-0.7,"1,899",63.2,65.1
2017-11-28,6577117,"418,608,867",63.3,64.2,63.2,63.5,0.2,"2,906",63.2,65.1
2017-11-29,5332048,"339,698,860",63.7,64.1,63.5,63.5,0.0,"2,150",63.2,65.1
2017-11-30,15700501,"999,312,820",64.2,64.3,63.1,63.7,0.2,"3,475",63.1,65.1
2017-12-01,10493971,"673,465,840",63.9,65.0,63.5,64.3,0.6,"5,233",63.1,65.1
2017-12-04,8089312,"509,567,556",63.8,64.0,62.6,62.9,-1.4,"3,753",62.6,65.1
2017-12-05,10312663,"649,392,500",62.7,64.0,62.2,64.0,1.1,"4,632",62.2,65.0
2017-12-06,10124659,"648,728,104",64.0,64.7,63.4,64.7,0.7,"4,785",62.2,65.0
2017-12-07,10897802,"703,958,627",64.7,65.3,64.0,64.7,0.0,"3,842",62.2,65.3
2017-12-08,13141845,"850,302,332",64.4,65.3,64.0,65.1,0.4,"5,134",62.2,65.3
2017-12-11,6333509,"410,584,055",64.4,65.3,64.4,64.5,-0.6,"4,104",62.2,65.3
2017-12-12,5066344,"326,398,535",64.3,64.7,64.1,64.7,0.2,"1,968",62.2,65.3
2017-12-13,9314940,"607,420,251",65.0,65.5,64.7,65.5,0.8,"4,830",62.2,65.5
2017-12-14,12782514,"848,582,765",65.7,66.9,65.6,66.5,1.0,"5,874",62.2,66.9
2017-12-15,11733397,"776,367,776",66.4,66.5,65.3,66.4,-0.1,"4,636",62.2,66.9
2017-12-18,5809812,"382,564,492",66.6,66.6,65.3,65.7,-0.7,"3,403",63.4,66.9
2017-12-19,7567826,"487,388,301",65.3,65.3,64.0,64.4,-1.3,"3,840",64.0,66.9
2017-12-20,3769082,"244,489,491",64.6,65.2,64.3,65.1,0.7,"2,794",64.0,66.9
2017-12-21,3509420,"227,640,115",65.0,65.1,64.5,64.9,-0.2,"1,560",64.0,66.9
2017-12-22,3927236,"255,532,389",65.0,65.5,64.7,65.3,0.4,"2,034",64.0,66.9
2017-12-25,1235244,"80,238,560",65.3,65.3,64.8,65.0,-0.3,"1,097",64.0,66.9
2017-12-26,1304531,"84,243,382",65.0,65.0,64.4,64.7,-0.3,732,64.0,66.9
2017-12-27,2157693,"139,840,989",64.9,65.2,64.5,65.2,0.5,"1,263",64.0,66.6
2017-12-28,5393058,"353,517,380",65.2,66.3,64.8,66.2,1.0,"2,733",64.0,66.6
2017-12-29,4005080,"263,768,171",66.2,66.5,65.3,66.0,-0.2,"1,815",64.0,66.5
2018-01-02,6245001,"415,959,326",66.0,67.2,65.7,67.2,1.2,"3,125",64.3,67.2
2018-01-03,8154266,"547,058,499",67.2,67.7,66.4,67.5,0.3,"4,473",64.4,67.7
2018-01-04,7408237,"497,030,455",67.2,67.5,66.7,67.5,0.0,"3,661",64.4,67.7
2018-01-05,7507133,"503,194,164",67.4,67.4,66.7,67.3,-0.2,"2,983",64.4,67.7
2018-01-08,5859656,"396,079,852",67.2,67.9,67.0,67.9,0.6,"3,222",64.4,67.9
2018-01-09,8385336,"565,823,221",67.2,67.9,67.1,67.6,-0.3,"3,238",64.5,67.9
2018-01-10,4103565,"275,930,488",67.5,67.6,67.0,67.6,0.0,"1,692",64.8,67.9
2018-01-11,4772094,"322,778,031",67.6,67.9,67.2,67.9,0.3,"1,988",65.3,67.9
2018-01-12,4853112,"329,143,952",67.7,68.1,67.5,68.1,0.2,"2,248",65.7,68.1
2018-01-15,6355881,"434,799,432",68.4,68.9,67.9,68.7,0.6,"2,567",66.4,68.9
2018-01-16,4345567,"296,207,656",68.3,68.5,67.8,68.3,-0.4,"2,455",66.7,68.9
2018-01-17,5274480,"356,297,567",68.3,68.3,67.2,67.6,-0.7,"2,804",66.7,68.9
2018-01-18,10092114,"689,511,508",67.9,69.0,67.3,68.2,0.6,"3,700",67.0,69.0
2018-01-19,7216777,"498,152,254",68.3,69.3,68.1,69.2,1.0,"3,728",67.0,69.3
2018-01-22,6988807,"485,835,734",68.7,69.9,68.6,69.9,0.7,"2,908",67.0,69.9
2018-01-23,5789627,"399,783,944",69.7,69.8,68.6,69.1,-0.8,"3,342",67.2,69.9
2018-01-24,8259277,"565,739,536",68.6,69.4,68.1,68.4,-0.7,"4,025",67.2,69.9
2018-01-25,9107465,"625,834,672",68.2,69.0,68.1,68.7,0.3,"3,923",67.2,69.9
2018-01-26,6072908,"410,984,667",68.5,68.5,67.0,67.5,-1.2,"3,672",67.0,69.9
2018-01-29,8559924,"588,676,188",67.5,69.3,67.5,69.2,1.7,"4,028",67.0,69.9
2018-01-30,10127509,"697,097,171",69.0,69.4,68.1,69.4,0.2,"3,705",67.0,69.9
2018-01-31,10084350,"703,074,105",69.1,70.2,68.6,70.0,0.6,"3,647",67.0,70.2
2018-02-01,8280437,"578,273,002",69.4,70.3,69.4,70.3,0.3,"3,916",67.0,70.3
2018-02-02,9468857,"651,291,441",69.5,70.0,68.1,69.0,-1.3,"4,590",67.0,70.3
2018-02-05,6984778,"476,250,893",68.0,68.8,68.0,68.3,-0.7,"2,940",67.0,70.3
2018-02-06,16091295,"1,058,231,737",66.4,66.6,65.0,65.7,-2.6,"6,519",65.0,70.3
2018-02-07,10210777,"683,610,883",66.5,68.0,66.3,66.8,1.1,"4,882",65.0,70.3
2018-02-08,5937287,"393,812,489",66.7,67.3,66.0,66.6,-0.2,"2,963",65.0,70.3
2018-02-09,8699275,"572,234,060",64.7,66.7,64.6,66.0,-0.6,"4,967",64.6,70.3
2018-02-12,7623134,"499,056,956",65.9,65.9,65.1,65.5,-0.5,"2,684",64.6,70.3
2018-02-21,11910939,"814,940,135",67.9,69.2,66.7,69.2,3.7,"5,653",64.6,70.3
2018-02-22,13553525,"904,440,575",67.5,67.6,66.1,66.8,-2.4,"6,645",64.6,70.0
2018-02-23,11154159,"742,164,805",66.4,66.9,66.3,66.8,0.0,"4,718",64.6,69.2
2018-02-26,11514695,"791,701,725",68.0,69.2,68.0,68.4,1.6,"6,796",64.6,69.2
2018-02-27,8425162,"580,762,097",69.0,69.2,68.6,69.0,0.6,"2,846",64.6,69.2
2018-03-01,12259742,"847,036,067",67.8,69.6,67.8,69.3,0.3,"5,008",64.6,69.6
2018-03-02,9503062,"654,425,310",68.3,69.5,68.3,68.7,-0.6,"3,999",64.6,69.6
2018-03-05,6887391,"467,507,283",68.4,68.5,67.3,67.8,-0.9,"2,923",65.1,69.6
2018-03-06,4716325,"319,049,597",68.2,68.6,67.3,67.5,-0.3,"2,136",66.1,69.6
2018-03-07,7002167,"480,285,626",68.0,69.0,67.7,69.0,1.5,"2,945",66.1,69.6
2018-03-08,2754821,"189,027,720",68.9,68.9,68.5,68.5,-0.5,"1,577",66.3,69.6
2018-03-09,1726365,"117,960,972",68.3,68.6,68.1,68.2,-0.3,"1,256",67.3,69.6
2018-03-12,6017910,"417,514,739",69.0,69.7,68.5,69.6,1.4,"3,306",67.3,69.7
2018-03-13,4414304,"306,251,766",69.0,69.8,68.3,69.8,0.2,"2,664",67.3,69.8
2018-03-14,5558191,"383,616,379",69.5,69.5,68.6,69.3,-0.5,"3,596",67.3,69.8
2018-03-15,3431404,"236,927,576",69.3,69.3,68.7,69.0,-0.3,"1,573",67.3,69.8
2018-03-16,18926505,"1,314,654,764",68.7,70.1,68.0,70.1,1.1,"5,078",67.3,70.1
2018-03-19,3901002,"269,165,811",69.3,69.4,68.7,69.3,-0.8,"2,576",67.7,70.1
2018-03-20,6123015,"418,633,900",69.2,69.2,68.1,68.1,-1.2,"3,562",68.0,70.1
2018-03-21,6152781,"420,259,485",68.5,68.8,67.9,68.8,0.7,"3,696",67.9,70.1
2018-03-22,7695883,"525,027,294",68.6,68.8,67.7,68.6,-0.2,"4,681",67.7,70.1
2018-03-23,6623500,"449,256,900",67.4,68.1,67.4,68.0,-0.6,"3,200",67.4,70.1
2018-03-26,5928576,"400,574,168",68.0,68.0,67.3,68.0,0.0,"3,183",67.3,70.1
2018-03-27,5425818,"370,331,924",68.2,68.7,68.0,68.2,0.2,"3,079",67.3,70.1
2018-03-28,8994723,"611,186,166",68.2,68.3,67.7,68.0,-0.2,"2,081",67.3,70.1
2018-03-29,17148089,"1,184,308,871",69.1,70.0,68.3,68.3,0.3,"8,367",67.3,70.0
2018-03-30,6690954,"460,617,007",68.9,69.3,68.3,68.5,0.2,"3,724",67.3,70.0
2018-03-31,2361599,"163,057,832",68.8,69.3,68.5,69.0,0.5,"1,651",67.3,70.0
2018-04-02,3095714,"214,571,510",69.2,69.5,69.1,69.4,0.4,"2,162",67.3,70.0
2018-04-03,8853532,"605,210,103",69.0,69.1,68.1,68.2,-1.2,"4,951",67.3,70.0
2018-04-09,12352027,"862,290,490",68.9,70.4,68.5,70.2,2.0,"5,826",67.3,70.4
2018-04-10,13892282,"975,482,681",69.4,71.0,69.4,70.6,0.4,"4,925",67.7,71.0
2018-04-11,5963256,"419,967,469",70.6,70.8,69.9,70.7,0.1,"3,917",67.7,71.0
2018-04-12,5376124,"379,225,102",70.7,71.0,70.2,70.8,0.1,"2,796",68.1,71.0
2018-04-13,7438166,"526,472,690",70.8,71.3,70.5,70.7,-0.1,"3,277",68.1,71.3
2018-04-16,6306044,"451,991,692",70.8,72.5,70.8,71.6,0.9,"3,490",68.1,72.5
2018-04-17,7913732,"559,498,038",71.7,71.7,70.4,70.5,-1.1,"3,540",68.1,72.5
2018-04-18,9074366,"644,670,886",71.3,71.3,70.8,71.2,0.7,"3,134",68.1,72.5
2018-04-19,11542004,"842,564,092",71.3,73.5,71.2,73.4,2.2,"5,368",68.5,73.5
2018-04-20,8367955,"599,603,299",73.0,73.0,71.0,71.4,-2.0,"4,144",69.4,73.5
2018-04-23,7212762,"507,356,224",71.3,71.3,69.9,70.3,-1.1,"4,010",69.9,73.5
2018-04-24,6504758,"456,910,653",71.0,71.1,69.8,70.3,0.0,"3,485",69.8,73.5
2018-04-25,6920920,"481,555,995",70.0,70.0,69.3,69.6,-0.7,"3,612",69.3,73.5
2018-04-26,6647193,"468,058,413",70.1,70.8,70.1,70.8,1.2,"3,613",69.3,73.5
2018-04-27,12040402,"844,520,537",70.1,70.5,69.9,70.3,-0.5,"3,672",69.3,73.5
2018-04-30,10130735,"723,901,255",70.0,72.2,70.0,71.6,1.3,"3,960",69.3,73.5
2018-05-02,8583304,"604,605,974",71.0,71.6,70.1,70.5,-1.1,"3,629",69.3,73.5
2018-05-03,12138766,"838,051,603",70.0,70.2,68.7,68.8,-1.7,"5,583",68.7,73.0
2018-05-04,12241099,"854,712,320",68.5,70.6,68.5,70.0,1.2,"4,536",68.5,72.2
2018-05-07,4683061,"328,577,446",70.1,70.5,69.8,70.2,0.2,"2,900",68.5,72.2
2018-05-08,6525672,"455,456,574",69.8,70.2,69.6,69.8,-0.4,"3,508",68.5,72.2
2018-05-09,8874162,"613,368,676",69.5,69.8,68.8,68.9,-0.9,"4,451",68.5,72.2
2018-05-10,6213206,"434,258,632",69.0,70.3,69.0,70.3,1.4,"3,311",68.5,72.2
2018-05-11,5590530,"391,953,408",70.5,70.5,69.9,70.0,-0.3,"2,895",68.5,72.2
2018-05-14,11917791,"850,108,104",70.5,72.2,70.4,72.0,2.0,"5,476",68.5,72.2
2018-05-15,8605893,"621,324,896",72.0,72.7,71.2,72.0,0.0,"4,594",68.5,72.7
2018-05-16,6763080,"488,124,200",72.3,72.5,71.2,72.5,0.5,"3,063",68.5,72.7
2018-05-17,10787865,"768,048,621",72.0,72.0,70.7,70.7,-1.8,"5,400",68.8,72.7
2018-05-18,7010955,"500,151,531",71.0,71.8,71.0,71.4,0.7,"3,059",68.8,72.7
2018-05-21,4197661,"300,721,639",71.4,71.8,71.0,71.7,0.3,"3,417",68.8,72.7
2018-05-22,5312739,"382,004,118",71.7,72.2,71.6,71.8,0.1,"2,999",69.0,72.7
2018-05-23,6671691,"482,711,794",72.2,72.8,71.9,72.0,0.2,"3,798",69.9,72.8
2018-05-24,7848352,"567,361,404",72.8,72.8,71.8,72.1,0.1,"3,729",70.4,72.8
2018-05-25,6647257,"480,549,089",72.1,72.5,72.1,72.4,0.3,"3,106",70.7,72.8
2018-05-28,5311014,"388,127,381",72.4,73.5,72.3,73.3,0.9,"3,810",70.7,73.5
2018-05-29,5572132,"410,349,142",73.3,74.1,73.3,73.5,0.2,"3,121",70.7,74.1
2018-05-30,12323731,"891,723,832",72.5,73.0,71.9,71.9,-1.6,"5,298",71.0,74.1
2018-05-31,34496892,"2,511,802,360",72.9,73.1,72.1,73.1,1.2,"4,270",71.0,74.1
2018-06-01,7395215,"542,950,997",73.0,74.0,72.5,74.0,0.9,"4,143",71.6,74.1
2018-06-04,8486390,"634,619,288",74.2,75.1,73.9,75.1,1.1,"4,444",71.8,75.1
2018-06-05,7614273,"570,642,877",75.0,75.2,74.5,75.0,-0.1,"3,880",71.8,75.2
2018-06-06,8336562,"630,702,604",75.4,76.0,74.6,75.9,0.9,"4,224",71.9,76.0
2018-06-07,10092667,"762,380,390",76.0,76.1,75.3,75.5,-0.4,"5,186",71.9,76.1
2018-06-08,6467673,"485,465,675",75.5,75.5,74.8,75.0,-0.5,"3,130",71.9,76.1
2018-06-11,7460982,"553,556,168",74.9,74.9,73.8,74.0,-1.0,"4,234",71.9,76.1
2018-06-12,12002171,"888,897,404",73.2,74.8,73.2,74.5,0.5,"4,627",72.1,76.1
2018-06-13,6848338,"505,259,277",74.0,74.0,73.6,73.7,-0.8,"3,632",72.5,76.1
2018-06-14,9964250,"726,865,005",73.0,73.4,72.5,72.5,-1.2,"4,277",72.5,76.1
2018-06-15,14602344,"1,079,080,356",72.2,74.2,72.2,74.2,1.7,"4,087",72.2,76.1
2018-06-19,15467126,"1,141,593,134",72.5,75.0,72.3,74.3,0.1,"7,432",72.2,76.1
2018-06-20,14492905,"1,093,584,608",75.0,76.2,74.4,75.9,1.6,"6,033",72.2,76.2
2018-06-21,10409212,"799,515,243",76.8,77.7,76.0,77.0,1.1,"5,825",72.2,77.7
2018-06-22,9875211,"753,605,233",76.5,77.0,75.8,76.7,-0.3,"4,021",72.2,77.7
2018-06-25,6610466,"507,064,231",76.6,77.1,76.1,76.7,0.0,"2,990",72.2,77.7
2018-06-26,6541868,"503,485,049",76.8,77.4,76.7,76.8,0.1,"2,995",72.2,77.7
2018-06-27,8390448,"647,925,909",76.8,77.9,76.2,77.5,0.7,"4,613",72.2,77.9
2018-06-28,13091649,"990,256,775",77.0,77.4,75.0,75.0,-2.5,"5,909",72.2,77.9
2018-06-29,15029466,"1,148,107,740",74.6,77.4,74.5,77.4,2.4,"5,382",72.3,77.9
2018-07-02,8285751,"638,792,012",76.9,77.7,76.8,76.9,-0.5,"3,227",74.4,77.9
2018-07-03,8395636,"644,131,670",76.8,77.5,76.3,76.6,-0.3,"3,579",74.5,77.9
2018-07-04,4414282,"340,954,814",76.9,78.0,76.8,77.1,0.5,"2,066",74.5,78.0
2018-07-05,6035174,"464,055,298",77.5,77.5,76.4,77.0,-0.1,"2,533",74.5,78.0
2018-07-06,10562157,"820,546,086",77.5,78.3,76.7,78.0,1.0,"5,357",74.5,78.3
2018-07-09,6637614,"522,347,071",78.8,79.2,78.2,78.8,0.8,"3,409",74.5,79.2
2018-07-10,8199417,"653,079,350",79.5,80.0,78.8,79.7,0.9,"4,288",74.5,80.0
2018-07-11,7013302,"560,736,560",79.6,80.4,79.1,80.1,0.4,"4,276",74.5,80.4
2018-07-12,8261853,"657,929,651",79.7,80.0,79.0,79.5,-0.6,"4,141",76.3,80.4
2018-07-13,6953605,"551,064,328",80.0,80.0,78.8,79.3,-0.2,"3,749",76.3,80.4
2018-07-16,3786029,"299,791,991",79.0,79.7,79.0,79.0,-0.3,"2,334",76.4,80.4
2018-07-17,15943099,"1,268,475,720",79.0,80.3,78.6,79.4,0.4,"5,079",76.4,80.4
2018-07-18,15988972,"1,312,789,654",80.0,83.8,79.7,82.4,3.0,"7,501",76.7,83.8
2018-07-19,17194932,"1,413,544,606",82.1,83.0,81.8,82.1,-0.3,"5,992",78.2,83.8
2018-07-20,15115885,"1,231,311,885",82.7,82.7,80.7,80.8,-1.3,"5,688",78.6,83.8
2018-07-23,13831254,"1,108,784,646",80.4,80.7,79.8,80.1,-0.7,"5,897",78.6,83.8
2018-07-24,11745523,"944,099,007",80.7,80.8,80.1,80.6,0.5,"4,245",78.6,83.8
2018-07-25,12758857,"1,025,163,641",81.0,81.8,79.6,79.8,-0.8,"5,768",78.6,83.8
2018-07-26,11240948,"907,763,089",80.5,81.6,80.2,80.7,0.9,"5,067",78.6,83.8
2018-07-27,11151394,"897,614,294",80.9,80.9,80.2,80.7,0.0,"4,287",78.6,83.8
2018-07-30,9564373,"775,607,142",81.3,81.5,80.7,80.7,0.0,"4,150",79.6,83.8
2018-07-31,19223720,"1,547,322,028",80.7,81.0,79.8,80.8,0.1,"6,122",79.6,83.0
